date,Sentiment_NLTK,Sentiment_TB,neg,neu,pos,compound,Subjectivity,Polarity
2024-01-24 20,Positive,Positive,0.019333333333333334,0.8783333333333333,0.10233333333333333,0.3207,0.5531385281385282,0.30248917748917753
2024-01-24 19,Negative,Negative,0.09266666666666667,0.882,0.025333333333333333,-0.2349,0.1111111111111111,-0.05555555555555555
2024-01-24 18,Negative,Positive,0.119,0.881,0.0,-0.5859,0.375,0.2
2024-01-24 17,Positive,Positive,0.0335,0.7949999999999999,0.17149999999999999,0.61215,0.44375,0.225
2024-01-24 16,Negative,Positive,0.035666666666666666,0.916888888888889,0.04755555555555555,-0.0042333333333333355,0.34475869809203147,0.15350168350168347
2024-01-24 15,Positive,Positive,0.0,0.865,0.135,0.6486,0.45,0.39999999999999997
2024-01-24 14,Positive,Negative,0.047,0.773,0.18,0.61155,0.4772222222222222,-0.008888888888888894
2024-01-24 13,Positive,Positive,0.0,0.8465,0.1535,0.55925,0.2925,0.03875
2024-01-24 12,Neutral,Positive,0.0134,0.8917999999999999,0.095,0.26887999999999995,0.6156363636363636,0.057090909090909095
2024-01-24 11,Positive,Positive,0.028,0.7706666666666666,0.20133333333333334,0.5117333333333334,0.40055555555555555,0.06833333333333334
2024-01-24 10,Positive,Positive,0.0,0.812,0.188,0.6124,0.2916666666666667,0.09999999999999999
2024-01-24 09,Positive,Positive,0.0,0.9125000000000001,0.0875,0.38634999999999997,0.625,0.375
2024-01-24 08,Neutral,Positive,0.021,0.9476666666666667,0.031,0.08333333333333333,0.6128787878787879,0.10303030303030303
2024-01-24 07,Neutral,Positive,0.03875,0.94575,0.01525,-0.0721,0.3854166666666667,0.090625
2024-01-24 06,Neutral,Neutral,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-24 03,Positive,Positive,0.028499999999999998,0.8035,0.168,0.5417500000000001,0.5054315476190476,0.24017857142857144
2024-01-24 01,Neutral,Positive,0.1615,0.8385,0.0,-0.443,0.225,0.03333333333333333
2024-01-24 00,Positive,Positive,0.0,0.957,0.043,0.128,0.18888888888888888,0.17777777777777778
2024-01-23 23,Positive,Positive,0.02475,0.8422499999999999,0.13324999999999998,0.369975,0.6166666666666667,0.33958333333333335
